goos: darwin
goarch: arm64
pkg: github.com/phiryll/lexy
BenchmarkUint8/put-10                	578694212	         2.166 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/put-10                	491006818	         2.053 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/put-10                	573643128	         2.193 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/put-10                	533125413	         2.436 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/put-10                	429561207	         2.332 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/put-10                	578943580	         2.141 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/put-10                	587874474	         2.330 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/put-10                	568484968	         2.043 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/put-10                	577067460	         2.066 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/put-10                	522054823	         2.156 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/put-10                	564322435	         2.056 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/put-10                	576960523	         2.188 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/get-10                	463096586	         2.675 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/get-10                	487869908	         2.354 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/get-10                	500550256	         2.449 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/get-10                	567560824	         2.360 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/get-10                	485181657	         2.181 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/get-10                	571938208	         2.383 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/get-10                	578992116	         2.329 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/get-10                	547710202	         2.718 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/get-10                	562278711	         2.530 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/get-10                	483733048	         2.376 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/get-10                	574692000	         2.040 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/get-10                	569913436	         2.302 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/get-10                	592937740	         2.330 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/get-10                	501225478	         2.621 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/get-10                	492343461	         2.216 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/get-10                	525175126	         2.402 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/get-10                	513995583	         2.204 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/get-10                	501791990	         2.393 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/get-10                	528789853	         2.502 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/get-10                	591934764	         2.447 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint16/append_nil-10        	84600132	        13.60 ns/op	       8 B/op	       1 allocs/op
BenchmarkUint16/append_nil-10        	82872452	        13.56 ns/op	       8 B/op	       1 allocs/op
BenchmarkUint16/append_nil-10        	83937607	        13.58 ns/op	       8 B/op	       1 allocs/op
BenchmarkUint16/append_nil-10        	83820346	        13.59 ns/op	       8 B/op	       1 allocs/op
BenchmarkUint16/append_nil-10        	85128522	        13.59 ns/op	       8 B/op	       1 allocs/op
BenchmarkUint16/append_nil-10        	84108220	        13.62 ns/op	       8 B/op	       1 allocs/op
BenchmarkUint16/append_nil-10        	84424549	        13.57 ns/op	       8 B/op	       1 allocs/op
BenchmarkUint16/append_nil-10        	83855244	        13.59 ns/op	       8 B/op	       1 allocs/op
BenchmarkUint16/append_nil-10        	83795224	        13.59 ns/op	       8 B/op	       1 allocs/op
BenchmarkUint16/append_nil-10        	84133530	        13.55 ns/op	       8 B/op	       1 allocs/op
BenchmarkUint16/append_nil-10        	84011798	        13.58 ns/op	       8 B/op	       1 allocs/op
BenchmarkUint16/append_nil-10        	83423610	        13.59 ns/op	       8 B/op	       1 allocs/op
BenchmarkUint16/append_nil-10        	83963296	        13.62 ns/op	       8 B/op	       1 allocs/op
BenchmarkUint16/append_nil-10        	84713109	        13.59 ns/op	       8 B/op	       1 allocs/op
BenchmarkUint16/append_nil-10        	82998313	        13.56 ns/op	       8 B/op	       1 allocs/op
BenchmarkUint16/append_nil-10        	83091219	        13.59 ns/op	       8 B/op	       1 allocs/op
BenchmarkUint16/append_nil-10        	83490840	        13.60 ns/op	       8 B/op	       1 allocs/op
BenchmarkUint16/append_nil-10        	84723570	        13.59 ns/op	       8 B/op	       1 allocs/op
BenchmarkUint16/append_nil-10        	82828122	        13.58 ns/op	       8 B/op	       1 allocs/op
BenchmarkUint16/append_nil-10        	84067464	        13.59 ns/op	       8 B/op	       1 allocs/op
BenchmarkUint16/append-10            	433779297	         2.754 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint16/append-10            	467002766	         2.240 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint16/append-10            	581241988	         2.160 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint16/append-10            	547527164	         2.293 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint16/append-10            	588876852	         2.143 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint16/append-10            	557279962	         2.443 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint16/append-10            	569227220	         2.177 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint16/append-10            	563435608	         2.043 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint16/append-10            	469543882	         2.261 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint16/append-10            	513662530	         2.091 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint16/append-10            	572479699	         2.196 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint16/append-10            	579037048	         2.341 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint16/append-10            	572744547	         2.299 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint16/append-10            	477736879	         2.101 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint16/append-10            	547681054	         2.264 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint16/append-10            	489170811	         2.354 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint16/append-10            	592392322	         2.276 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint16/append-10            	558828322	         2.173 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint16/append-10            	550056684	         2.445 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint16/append-10            	518659122	         2.560 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint16/put-10               	501569931	         2.062 ns/op	       0 B/op	       0 allocs/op
